================================================================================================
H406b  WEEKEND EXTREME-SCALE random-noise hardening of ALL train samples (Fashion-MNIST)
================================================================================================
condition: n = ALL 6000 train samples,  K = 4,000,000 noisy copies/sample
           effective presentations target = 24,000,000,000 (~24.000e9)
           total_steps (at batch 4096) = 5,859,375
noise:     (x + 0.1*(2*rand-1)).clamp(0,1), labeled true class  |  EPS=0.1 PGD_STEPS=10
config:    SmallCNN width=32, SGD(lr=0.05,mom=0.9,wd=5e-4), SEED=0, device=cuda
           gpu = NVIDIA GeForce RTX 4090
           BATCH_START=4096 BATCH_MIN=128  CKPT_EVERY_SEC=300.0

BASELINE reference (n=0, no augmentation):
   clean_acc=0.8785  FGSM_ASR=0.9294  PGD_ASR=1.0000  vuln_PGD=1.0000
   vulnerable test subset = lowest 25% margin (500 samples)

PROGRESS SNAPSHOTS (each = a periodic eval during the long run):
   global_step      pct   batch  clean_acc   FGSM_ASR    PGD_ASR   vuln_PGD   elapsed_s
---------------------------------------------------------------------------------------
     1,117,682   19.08%    4096     0.8055     0.7722     0.9497     1.0000     76034.5
     1,122,097   19.15%    4096     0.8235     0.7784     0.9484     1.0000     76334.5
     1,126,512   19.23%    4096     0.8150     0.7853     0.9595     1.0000     76634.6
     1,130,926   19.30%    4096     0.8230     0.7710     0.9575     1.0000     76934.6
     1,135,341   19.38%    4096     0.8125     0.7631     0.9532     1.0000     77234.6
     1,139,756   19.45%    4096     0.8170     0.7662     0.9578     1.0000     77534.7
     1,144,171   19.53%    4096     0.8260     0.7809     0.9679     1.0000     77834.7
     1,148,585   19.60%    4096     0.8285     0.7743     0.9578     1.0000     78134.7
     1,153,000   19.68%    4096     0.8195     0.7767     0.9603     1.0000     78434.8
     1,157,415   19.75%    4096     0.8220     0.7682     0.9623     1.0000     78734.8
     1,161,830   19.83%    4096     0.8215     0.7699     0.9623     1.0000     79034.8
     1,166,245   19.90%    4096     0.8210     0.7680     0.9537     1.0000     79334.9
     1,170,660   19.98%    4096     0.8170     0.7613     0.9572     1.0000     79634.9
     1,171,860   20.00%    4096     0.8200     0.7732     0.9530     1.0000     79716.6
     1,176,274   20.08%    4096     0.8280     0.7627     0.9523     1.0000     80016.6
     1,180,688   20.15%    4096     0.8225     0.7720     0.9562     1.0000     80316.6
     1,185,103   20.23%    4096     0.8310     0.7762     0.9537     1.0000     80616.7
     1,189,517   20.30%    4096     0.8240     0.7919     0.9624     1.0000     80916.7
     1,193,932   20.38%    4096     0.8225     0.7775     0.9611     1.0000     81216.7
     1,198,347   20.45%    4096     0.8265     0.7774     0.9637     1.0000     81516.8
     1,202,761   20.53%    4096     0.7585     0.7713     0.9407     0.9956     81816.8
     1,207,176   20.60%    4096     0.8295     0.7715     0.9566     1.0000     82116.8
     1,211,592   20.68%    4096     0.8225     0.8061     0.9653     1.0000     82416.9
     1,216,006   20.75%    4096     0.8275     0.7837     0.9704     1.0000     82716.9
     1,220,421   20.83%    4096     0.8240     0.7767     0.9624     1.0000     83017.0
     1,224,836   20.90%    4096     0.8220     0.7938     0.9617     1.0000     83317.0
     1,229,251   20.98%    4096     0.8170     0.7619     0.9663     0.9959     83617.0
     1,230,453   21.00%    4096     0.8265     0.8028     0.9637     1.0000     83698.9
     1,234,868   21.08%    4096     0.8185     0.7850     0.9688     1.0000     83999.0
     1,239,283   21.15%    4096     0.8235     0.8021     0.9775     1.0000     84299.0
     1,243,698   21.23%    4096     0.8290     0.7901     0.9584     0.9961     84599.0
     1,248,113   21.30%    4096     0.8200     0.7750     0.9726     0.9959     84899.1
     1,252,528   21.38%    4096     0.8375     0.7982     0.9666     0.9962     85199.1
